"interaction","cell1","cell2","p-value"
"WNT8B_FZD6_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD6_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD6_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD7_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD7_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD8_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD8_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD8_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD8_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD9_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD9_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD9_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD9_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD1_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD1_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD10_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD10_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD10_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD10_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD2_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD2_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD2_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD2_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD3_LRP5","B Cell","Macrophage","0.02"
"WNT9A_FZD3_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD3_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD3_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD4_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD4_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD5_LRP5","Macrophage","Macrophage","0.03"
"WNT9A_FZD5_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD5_LRP5","T Cell","Macrophage","0.01"
"WNT9A_FZD5_LRP5","Macrophage","NK Cell","0.04"
"WNT9A_FZD5_LRP5","NK Cell","NK Cell","0.01"
"WNT9A_FZD5_LRP5","T Cell","NK Cell","0.04"
"WNT9A_FZD6_LRP5","B Cell","Macrophage","0.02"
"WNT9A_FZD6_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD6_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD6_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD7_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD7_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD8_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD8_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD8_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD8_LRP5","T Cell","Macrophage","0"
"WNT9A_FZD9_LRP5","B Cell","Macrophage","0"
"WNT9A_FZD9_LRP5","Macrophage","Macrophage","0"
"WNT9A_FZD9_LRP5","NK Cell","Macrophage","0"
"WNT9A_FZD9_LRP5","T Cell","Macrophage","0"
"WNT10A_FZD1_LRP6","B Cell","B Cell","0.01"
"WNT10A_FZD1_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD1_LRP6","Macrophage","Macrophage","0.01"
"WNT10A_FZD1_LRP6","NK Cell","Macrophage","0"
"WNT10A_FZD1_LRP6","T Cell","Macrophage","0"
"WNT10A_FZD1_LRP6","B Cell","NK Cell","0.03"
"WNT10A_FZD1_LRP6","B Cell","T Cell","0.01"
"WNT10A_FZD10_LRP6","B Cell","B Cell","0"
"WNT10A_FZD10_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD10_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD10_LRP6","B Cell","T Cell","0"
"WNT10A_FZD2_LRP6","B Cell","B Cell","0"
"WNT10A_FZD2_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD2_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD2_LRP6","B Cell","T Cell","0"
"WNT10A_FZD3_LRP6","B Cell","B Cell","0"
"WNT10A_FZD3_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD3_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD3_LRP6","B Cell","T Cell","0"
"WNT10A_FZD4_LRP6","B Cell","B Cell","0.02"
"WNT10A_FZD4_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT10A_FZD4_LRP6","NK Cell","Macrophage","0"
"WNT10A_FZD4_LRP6","T Cell","Macrophage","0"
"WNT10A_FZD4_LRP6","B Cell","NK Cell","0.03"
"WNT10A_FZD4_LRP6","B Cell","T Cell","0.01"
"WNT10A_FZD5_LRP6","B Cell","B Cell","0"
"WNT10A_FZD5_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD5_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD5_LRP6","Macrophage","NK Cell","0.03"
"WNT10A_FZD5_LRP6","NK Cell","NK Cell","0"
"WNT10A_FZD5_LRP6","T Cell","NK Cell","0"
"WNT10A_FZD5_LRP6","B Cell","T Cell","0"
"WNT10A_FZD6_LRP6","B Cell","B Cell","0"
"WNT10A_FZD6_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD6_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD6_LRP6","B Cell","T Cell","0"
"WNT10A_FZD7_LRP6","B Cell","B Cell","0"
"WNT10A_FZD7_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT10A_FZD7_LRP6","NK Cell","Macrophage","0"
"WNT10A_FZD7_LRP6","T Cell","Macrophage","0"
"WNT10A_FZD7_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD7_LRP6","B Cell","T Cell","0"
"WNT10A_FZD8_LRP6","B Cell","B Cell","0"
"WNT10A_FZD8_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD8_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD8_LRP6","B Cell","T Cell","0"
"WNT10A_FZD9_LRP6","B Cell","B Cell","0"
"WNT10A_FZD9_LRP6","B Cell","Macrophage","0"
"WNT10A_FZD9_LRP6","B Cell","NK Cell","0"
"WNT10A_FZD9_LRP6","B Cell","T Cell","0"
"WNT10B_FZD1_LRP6","B Cell","Macrophage","0"
"WNT10B_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT10B_FZD1_LRP6","NK Cell","Macrophage","0"
"WNT10B_FZD1_LRP6","T Cell","Macrophage","0"
"WNT10B_FZD10_LRP6","B Cell","Macrophage","0"
"WNT10B_FZD10_LRP6","B Cell","NK Cell","0.03"
"WNT10B_FZD2_LRP6","B Cell","Macrophage","0"
"WNT10B_FZD3_LRP6","B Cell","Macrophage","0.02"
"WNT10B_FZD4_LRP6","B Cell","Macrophage","0"
"WNT10B_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT10B_FZD4_LRP6","NK Cell","Macrophage","0"
"WNT10B_FZD4_LRP6","T Cell","Macrophage","0"
"WNT10B_FZD5_LRP6","B Cell","NK Cell","0"
"WNT10B_FZD5_LRP6","Macrophage","NK Cell","0"
"WNT10B_FZD5_LRP6","NK Cell","NK Cell","0"
"WNT10B_FZD5_LRP6","T Cell","NK Cell","0"
"WNT10B_FZD6_LRP6","B Cell","NK Cell","0"
"WNT10B_FZD6_LRP6","Macrophage","NK Cell","0"
"WNT10B_FZD6_LRP6","NK Cell","NK Cell","0"
"WNT10B_FZD6_LRP6","T Cell","NK Cell","0.01"
"WNT10B_FZD7_LRP6","B Cell","Macrophage","0"
"WNT10B_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT10B_FZD7_LRP6","NK Cell","Macrophage","0"
"WNT10B_FZD7_LRP6","T Cell","Macrophage","0"
"WNT10B_FZD8_LRP6","B Cell","Macrophage","0"
"WNT10B_FZD9_LRP6","B Cell","Macrophage","0"
"WNT2_FZD1_LRP6","Macrophage","B Cell","0.04"
"WNT2_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD1_LRP6","Macrophage","T Cell","0.02"
"WNT2_FZD10_LRP6","Macrophage","B Cell","0"
"WNT2_FZD10_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD10_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD10_LRP6","Macrophage","T Cell","0"
"WNT2_FZD2_LRP6","Macrophage","B Cell","0"
"WNT2_FZD2_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD2_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD2_LRP6","Macrophage","T Cell","0"
"WNT2_FZD3_LRP6","Macrophage","B Cell","0"
"WNT2_FZD3_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD3_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD3_LRP6","Macrophage","T Cell","0"
"WNT2_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD5_LRP6","Macrophage","B Cell","0"
"WNT2_FZD5_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD5_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD5_LRP6","Macrophage","T Cell","0"
"WNT2_FZD6_LRP6","Macrophage","B Cell","0"
"WNT2_FZD6_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD6_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD6_LRP6","Macrophage","T Cell","0"
"WNT2_FZD7_LRP6","Macrophage","B Cell","0"
"WNT2_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD7_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD7_LRP6","Macrophage","T Cell","0"
"WNT2_FZD8_LRP6","Macrophage","B Cell","0"
"WNT2_FZD8_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD8_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD8_LRP6","Macrophage","T Cell","0"
"WNT2_FZD9_LRP6","Macrophage","B Cell","0"
"WNT2_FZD9_LRP6","Macrophage","Macrophage","0"
"WNT2_FZD9_LRP6","Macrophage","NK Cell","0"
"WNT2_FZD9_LRP6","Macrophage","T Cell","0"
"WNT2B_FZD1_LRP6","B Cell","Macrophage","0.01"
"WNT2B_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT2B_FZD1_LRP6","NK Cell","Macrophage","0"
"WNT2B_FZD1_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD10_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD10_LRP6","T Cell","NK Cell","0"
"WNT2B_FZD2_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD2_LRP6","T Cell","NK Cell","0"
"WNT2B_FZD3_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD3_LRP6","T Cell","T Cell","0.03"
"WNT2B_FZD4_LRP6","B Cell","Macrophage","0.01"
"WNT2B_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT2B_FZD4_LRP6","NK Cell","Macrophage","0"
"WNT2B_FZD4_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD5_LRP6","B Cell","NK Cell","0.01"
"WNT2B_FZD5_LRP6","Macrophage","NK Cell","0"
"WNT2B_FZD5_LRP6","NK Cell","NK Cell","0"
"WNT2B_FZD5_LRP6","T Cell","NK Cell","0"
"WNT2B_FZD6_LRP6","T Cell","Macrophage","0.04"
"WNT2B_FZD6_LRP6","Macrophage","NK Cell","0"
"WNT2B_FZD6_LRP6","NK Cell","NK Cell","0.01"
"WNT2B_FZD6_LRP6","T Cell","NK Cell","0"
"WNT2B_FZD7_LRP6","B Cell","Macrophage","0.03"
"WNT2B_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT2B_FZD7_LRP6","NK Cell","Macrophage","0"
"WNT2B_FZD7_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD8_LRP6","Macrophage","Macrophage","0.02"
"WNT2B_FZD8_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD8_LRP6","T Cell","NK Cell","0.02"
"WNT2B_FZD9_LRP6","T Cell","Macrophage","0"
"WNT2B_FZD9_LRP6","T Cell","NK Cell","0.01"
"WNT3_FZD1_LRP6","B Cell","Macrophage","0"
"WNT3_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT3_FZD1_LRP6","NK Cell","Macrophage","0.01"
"WNT3_FZD1_LRP6","T Cell","Macrophage","0"
"WNT3_FZD10_LRP6","B Cell","B Cell","0.04"
"WNT3_FZD10_LRP6","B Cell","Macrophage","0"
"WNT3_FZD10_LRP6","T Cell","Macrophage","0"
"WNT3_FZD10_LRP6","B Cell","NK Cell","0.01"
"WNT3_FZD10_LRP6","T Cell","NK Cell","0.01"
"WNT3_FZD10_LRP6","B Cell","T Cell","0.02"
"WNT3_FZD2_LRP6","B Cell","Macrophage","0"
"WNT3_FZD2_LRP6","T Cell","Macrophage","0"
"WNT3_FZD2_LRP6","B Cell","NK Cell","0.01"
"WNT3_FZD2_LRP6","T Cell","NK Cell","0.03"
"WNT3_FZD2_LRP6","B Cell","T Cell","0.02"
"WNT3_FZD3_LRP6","B Cell","B Cell","0.01"
"WNT3_FZD3_LRP6","T Cell","B Cell","0.04"
"WNT3_FZD3_LRP6","B Cell","Macrophage","0"
"WNT3_FZD3_LRP6","T Cell","Macrophage","0"
"WNT3_FZD3_LRP6","B Cell","NK Cell","0.03"
"WNT3_FZD3_LRP6","T Cell","NK Cell","0.04"
"WNT3_FZD3_LRP6","B Cell","T Cell","0.03"
"WNT3_FZD3_LRP6","T Cell","T Cell","0.01"
"WNT3_FZD4_LRP6","B Cell","Macrophage","0"
"WNT3_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT3_FZD4_LRP6","NK Cell","Macrophage","0.01"
"WNT3_FZD4_LRP6","T Cell","Macrophage","0"
"WNT3_FZD5_LRP6","B Cell","NK Cell","0"
"WNT3_FZD5_LRP6","Macrophage","NK Cell","0.02"
"WNT3_FZD5_LRP6","NK Cell","NK Cell","0"
"WNT3_FZD5_LRP6","T Cell","NK Cell","0"
"WNT3_FZD6_LRP6","B Cell","Macrophage","0.02"
"WNT3_FZD6_LRP6","T Cell","Macrophage","0.02"
"WNT3_FZD6_LRP6","B Cell","NK Cell","0"
"WNT3_FZD6_LRP6","T Cell","NK Cell","0"
"WNT3_FZD6_LRP6","B Cell","T Cell","0.03"
"WNT3_FZD6_LRP6","T Cell","T Cell","0.03"
"WNT3_FZD7_LRP6","B Cell","Macrophage","0"
"WNT3_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT3_FZD7_LRP6","NK Cell","Macrophage","0.01"
"WNT3_FZD7_LRP6","T Cell","Macrophage","0"
"WNT3_FZD8_LRP6","B Cell","B Cell","0.03"
"WNT3_FZD8_LRP6","B Cell","Macrophage","0"
"WNT3_FZD8_LRP6","T Cell","Macrophage","0"
"WNT3_FZD8_LRP6","B Cell","NK Cell","0.01"
"WNT3_FZD8_LRP6","T Cell","NK Cell","0.03"
"WNT3_FZD8_LRP6","B Cell","T Cell","0.02"
"WNT3_FZD9_LRP6","B Cell","B Cell","0.04"
"WNT3_FZD9_LRP6","B Cell","Macrophage","0"
"WNT3_FZD9_LRP6","T Cell","Macrophage","0"
"WNT3_FZD9_LRP6","B Cell","NK Cell","0.01"
"WNT3_FZD9_LRP6","T Cell","NK Cell","0.03"
"WNT3_FZD9_LRP6","B Cell","T Cell","0.02"
"WNT6_FZD1_LRP6","B Cell","Macrophage","0"
"WNT6_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD1_LRP6","NK Cell","Macrophage","0"
"WNT6_FZD1_LRP6","T Cell","Macrophage","0"
"WNT6_FZD10_LRP6","Macrophage","B Cell","0"
"WNT6_FZD10_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD10_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD10_LRP6","Macrophage","T Cell","0"
"WNT6_FZD2_LRP6","Macrophage","B Cell","0"
"WNT6_FZD2_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD2_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD2_LRP6","Macrophage","T Cell","0"
"WNT6_FZD3_LRP6","Macrophage","B Cell","0"
"WNT6_FZD3_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD3_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD3_LRP6","Macrophage","T Cell","0"
"WNT6_FZD4_LRP6","B Cell","Macrophage","0"
"WNT6_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD4_LRP6","NK Cell","Macrophage","0.02"
"WNT6_FZD4_LRP6","T Cell","Macrophage","0"
"WNT6_FZD5_LRP6","Macrophage","B Cell","0"
"WNT6_FZD5_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD5_LRP6","B Cell","NK Cell","0"
"WNT6_FZD5_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD5_LRP6","NK Cell","NK Cell","0.02"
"WNT6_FZD5_LRP6","T Cell","NK Cell","0"
"WNT6_FZD5_LRP6","Macrophage","T Cell","0"
"WNT6_FZD6_LRP6","Macrophage","B Cell","0"
"WNT6_FZD6_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD6_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD6_LRP6","Macrophage","T Cell","0"
"WNT6_FZD7_LRP6","Macrophage","B Cell","0.01"
"WNT6_FZD7_LRP6","B Cell","Macrophage","0.01"
"WNT6_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD7_LRP6","NK Cell","Macrophage","0.01"
"WNT6_FZD7_LRP6","T Cell","Macrophage","0.01"
"WNT6_FZD7_LRP6","Macrophage","NK Cell","0.04"
"WNT6_FZD7_LRP6","Macrophage","T Cell","0"
"WNT6_FZD8_LRP6","Macrophage","B Cell","0"
"WNT6_FZD8_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD8_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD8_LRP6","Macrophage","T Cell","0"
"WNT6_FZD9_LRP6","Macrophage","B Cell","0"
"WNT6_FZD9_LRP6","Macrophage","Macrophage","0"
"WNT6_FZD9_LRP6","Macrophage","NK Cell","0"
"WNT6_FZD9_LRP6","Macrophage","T Cell","0"
"WNT8B_FZD1_LRP6","B Cell","Macrophage","0"
"WNT8B_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT8B_FZD1_LRP6","NK Cell","Macrophage","0"
"WNT8B_FZD1_LRP6","T Cell","Macrophage","0"
"WNT8B_FZD10_LRP6","T Cell","Macrophage","0"
"WNT8B_FZD10_LRP6","T Cell","NK Cell","0"
"WNT8B_FZD2_LRP6","T Cell","Macrophage","0"
"WNT8B_FZD3_LRP6","T Cell","Macrophage","0.01"
"WNT8B_FZD4_LRP6","B Cell","Macrophage","0"
"WNT8B_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT8B_FZD4_LRP6","NK Cell","Macrophage","0"
"WNT8B_FZD4_LRP6","T Cell","Macrophage","0"
"WNT8B_FZD5_LRP6","B Cell","NK Cell","0"
"WNT8B_FZD5_LRP6","Macrophage","NK Cell","0"
"WNT8B_FZD5_LRP6","NK Cell","NK Cell","0"
"WNT8B_FZD5_LRP6","T Cell","NK Cell","0"
"WNT8B_FZD6_LRP6","B Cell","NK Cell","0"
"WNT8B_FZD6_LRP6","Macrophage","NK Cell","0"
"WNT8B_FZD6_LRP6","NK Cell","NK Cell","0"
"WNT8B_FZD6_LRP6","T Cell","NK Cell","0"
"WNT8B_FZD7_LRP6","B Cell","Macrophage","0"
"WNT8B_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT8B_FZD7_LRP6","NK Cell","Macrophage","0"
"WNT8B_FZD7_LRP6","T Cell","Macrophage","0"
"WNT8B_FZD8_LRP6","Macrophage","Macrophage","0.02"
"WNT8B_FZD8_LRP6","NK Cell","Macrophage","0.03"
"WNT8B_FZD8_LRP6","T Cell","Macrophage","0"
"WNT8B_FZD9_LRP6","T Cell","Macrophage","0"
"WNT9A_FZD1_LRP6","B Cell","Macrophage","0"
"WNT9A_FZD1_LRP6","Macrophage","Macrophage","0"
"WNT9A_FZD1_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD1_LRP6","T Cell","Macrophage","0"
"WNT9A_FZD10_LRP6","NK Cell","B Cell","0.03"
"WNT9A_FZD10_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD10_LRP6","T Cell","Macrophage","0.02"
"WNT9A_FZD10_LRP6","NK Cell","NK Cell","0"
"WNT9A_FZD10_LRP6","NK Cell","T Cell","0.02"
"WNT9A_FZD2_LRP6","NK Cell","B Cell","0.04"
"WNT9A_FZD2_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD2_LRP6","T Cell","Macrophage","0.02"
"WNT9A_FZD2_LRP6","NK Cell","NK Cell","0.01"
"WNT9A_FZD2_LRP6","NK Cell","T Cell","0.02"
"WNT9A_FZD3_LRP6","NK Cell","B Cell","0.01"
"WNT9A_FZD3_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD3_LRP6","NK Cell","NK Cell","0"
"WNT9A_FZD3_LRP6","NK Cell","T Cell","0.02"
"WNT9A_FZD4_LRP6","B Cell","Macrophage","0"
"WNT9A_FZD4_LRP6","Macrophage","Macrophage","0"
"WNT9A_FZD4_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD4_LRP6","T Cell","Macrophage","0"
"WNT9A_FZD5_LRP6","B Cell","NK Cell","0"
"WNT9A_FZD5_LRP6","Macrophage","NK Cell","0"
"WNT9A_FZD5_LRP6","NK Cell","NK Cell","0"
"WNT9A_FZD5_LRP6","T Cell","NK Cell","0"
"WNT9A_FZD6_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD6_LRP6","B Cell","NK Cell","0.01"
"WNT9A_FZD6_LRP6","Macrophage","NK Cell","0.02"
"WNT9A_FZD6_LRP6","NK Cell","NK Cell","0"
"WNT9A_FZD6_LRP6","T Cell","NK Cell","0.01"
"WNT9A_FZD6_LRP6","NK Cell","T Cell","0"
"WNT9A_FZD7_LRP6","B Cell","Macrophage","0"
"WNT9A_FZD7_LRP6","Macrophage","Macrophage","0"
"WNT9A_FZD7_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD7_LRP6","T Cell","Macrophage","0"
"WNT9A_FZD8_LRP6","NK Cell","B Cell","0"
"WNT9A_FZD8_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD8_LRP6","T Cell","Macrophage","0.01"
"WNT9A_FZD8_LRP6","NK Cell","NK Cell","0.01"
"WNT9A_FZD8_LRP6","NK Cell","T Cell","0.02"
"WNT9A_FZD9_LRP6","NK Cell","B Cell","0.03"
"WNT9A_FZD9_LRP6","NK Cell","Macrophage","0"
"WNT9A_FZD9_LRP6","T Cell","Macrophage","0.02"
"WNT9A_FZD9_LRP6","NK Cell","NK Cell","0.01"
"WNT9A_FZD9_LRP6","NK Cell","T Cell","0.02"
"WNT5B_FZD1","B Cell","Macrophage","0"
"WNT5B_FZD1","Macrophage","Macrophage","0"
"WNT5B_FZD1","NK Cell","Macrophage","0"
"WNT5B_FZD1","T Cell","Macrophage","0"
"WNT5B_FZD10","T Cell","B Cell","0"
"WNT5B_FZD10","T Cell","Macrophage","0"
"WNT5B_FZD10","B Cell","NK Cell","0"
"WNT5B_FZD10","T Cell","NK Cell","0"
"WNT5B_FZD10","T Cell","T Cell","0"
"WNT5B_FZD4","B Cell","Macrophage","0"
"WNT5B_FZD4","Macrophage","Macrophage","0"
"WNT5B_FZD4","NK Cell","Macrophage","0"
"WNT5B_FZD4","T Cell","Macrophage","0"
"WNT5B_FZD5","B Cell","NK Cell","0"
"WNT5B_FZD5","Macrophage","NK Cell","0"
"WNT5B_FZD5","NK Cell","NK Cell","0"
"WNT5B_FZD5","T Cell","NK Cell","0"
"WNT5B_FZD6","B Cell","NK Cell","0"
"WNT5B_FZD6","Macrophage","NK Cell","0"
"WNT5B_FZD6","NK Cell","NK Cell","0"
"WNT5B_FZD6","T Cell","NK Cell","0"
"WNT5B_FZD6","T Cell","T Cell","0.02"
"WNT5B_FZD7","B Cell","Macrophage","0"
"WNT5B_FZD7","Macrophage","Macrophage","0"
"WNT5B_FZD7","NK Cell","Macrophage","0"
"WNT5B_FZD7","T Cell","Macrophage","0"
"EGF_EGFR","B Cell","Macrophage","0"
"EGF_EGFR","Macrophage","Macrophage","0"
"EGF_EGFR","NK Cell","Macrophage","0"
"EGF_EGFR","T Cell","Macrophage","0"
"EGF_EGFR_ERBB2","B Cell","Macrophage","0"
"EGF_EGFR_ERBB2","Macrophage","Macrophage","0"
"EGF_EGFR_ERBB2","NK Cell","Macrophage","0"
"EGF_EGFR_ERBB2","T Cell","Macrophage","0"
"TGFA_EGFR","B Cell","Macrophage","0"
"TGFA_EGFR","Macrophage","Macrophage","0"
"TGFA_EGFR","NK Cell","Macrophage","0"
"TGFA_EGFR","T Cell","Macrophage","0"
"TGFA_EGFR_ERBB2","B Cell","Macrophage","0"
"TGFA_EGFR_ERBB2","Macrophage","Macrophage","0"
"TGFA_EGFR_ERBB2","NK Cell","Macrophage","0"
"TGFA_EGFR_ERBB2","T Cell","Macrophage","0"
"AREG_EGFR","B Cell","Macrophage","0"
"AREG_EGFR","Macrophage","Macrophage","0"
"AREG_EGFR","NK Cell","Macrophage","0"
"AREG_EGFR","T Cell","Macrophage","0"
"AREG_EGFR_ERBB2","B Cell","Macrophage","0"
"AREG_EGFR_ERBB2","Macrophage","Macrophage","0"
"AREG_EGFR_ERBB2","NK Cell","Macrophage","0"
"AREG_EGFR_ERBB2","T Cell","Macrophage","0"
"BTC_EGFR","Macrophage","Macrophage","0"
"BTC_EGFR","NK Cell","Macrophage","0"
"BTC_EGFR","T Cell","Macrophage","0"
"BTC_EGFR_ERBB2","Macrophage","Macrophage","0"
"BTC_EGFR_ERBB2","NK Cell","Macrophage","0"
"BTC_EGFR_ERBB2","T Cell","Macrophage","0"
"BTC_ERBB2_ERBB4","Macrophage","Macrophage","0"
"BTC_ERBB2_ERBB4","T Cell","Macrophage","0"
"BTC_ERBB2_ERBB4","T Cell","NK Cell","0.03"
"HBEGF_EGFR","Macrophage","Macrophage","0"
"HBEGF_EGFR","NK Cell","Macrophage","0"
"HBEGF_EGFR","T Cell","Macrophage","0.02"
"HBEGF_EGFR_ERBB2","Macrophage","Macrophage","0"
"HBEGF_EGFR_ERBB2","NK Cell","Macrophage","0"
"HBEGF_EGFR_ERBB2","T Cell","Macrophage","0.02"
"HBEGF_ERBB2_ERBB4","Macrophage","Macrophage","0"
"HBEGF_ERBB2_ERBB4","NK Cell","Macrophage","0"
"HBEGF_ERBB2_ERBB4","Macrophage","NK Cell","0.01"
"HBEGF_ERBB2_ERBB4","Macrophage","T Cell","0.02"
"NRG1_ERBB3","B Cell","Macrophage","0"
"NRG1_ERBB3","Macrophage","Macrophage","0"
"NRG1_ERBB3","T Cell","Macrophage","0.01"
"NRG1_ERBB3","B Cell","NK Cell","0.02"
"NRG1_ERBB2_ERBB3","B Cell","Macrophage","0"
"NRG1_ERBB2_ERBB3","Macrophage","Macrophage","0"
"NRG1_ERBB2_ERBB3","NK Cell","Macrophage","0.01"
"NRG1_ERBB2_ERBB3","T Cell","Macrophage","0"
"NRG1_ERBB2_ERBB4","B Cell","Macrophage","0"
