"interaction","cell1","cell2","p-value"
"BMP7_BMPR1B_BMPR2","T Cell","Macrophage","0"
"BMP7_BMPR1B_BMPR2","NK Cell","NK Cell","0"
"BMP7_BMPR1B_BMPR2","T Cell","NK Cell","0"
"BMP7_BMPR1B_BMPR2","T Cell","T Cell","0.01"
"GDF9_ACVR1B_BMPR2","Macrophage","Macrophage","0"
"GDF9_ACVR1B_BMPR2","Macrophage","NK Cell","0.03"
"GDF9_ACVR1B_BMPR2","Macrophage","T Cell","0"
"GDF11_TGFBR1_ACVR2B","B Cell","B Cell","0"
"GDF11_TGFBR1_ACVR2B","B Cell","Macrophage","0"
"GDF11_TGFBR1_ACVR2B","NK Cell","Macrophage","0"
"GDF11_TGFBR1_ACVR2B","T Cell","Macrophage","0"
"GDF11_TGFBR1_ACVR2B","B Cell","NK Cell","0.04"
"GDF11_TGFBR1_ACVR2B","B Cell","T Cell","0"
"GDF11_ACVR1B_ACVR2B","B Cell","B Cell","0"
"GDF11_ACVR1B_ACVR2B","B Cell","Macrophage","0"
"GDF11_ACVR1B_ACVR2B","NK Cell","Macrophage","0"
"GDF11_ACVR1B_ACVR2B","T Cell","Macrophage","0.01"
"GDF11_ACVR1B_ACVR2B","B Cell","T Cell","0"
"GDNF_GFRA1","B Cell","NK Cell","0"
"GDNF_GFRA1","Macrophage","NK Cell","0"
"GDNF_GFRA1","NK Cell","NK Cell","0"
"GDNF_GFRA1","T Cell","NK Cell","0"
"GDNF_GFRA1","NK Cell","T Cell","0.03"
"GDF3_ACVR1B_ACVR2A","Macrophage","B Cell","0"
"GDF3_ACVR1B_ACVR2A","Macrophage","Macrophage","0"
"GDF3_ACVR1B_ACVR2A","Macrophage","NK Cell","0"
"GDF3_ACVR1B_ACVR2A","Macrophage","T Cell","0"
"GDF3_ACVR1B_ACVR2A","T Cell","T Cell","0.01"
"GDF3_ACVR1B_ACVR2B","Macrophage","B Cell","0.01"
"GDF3_ACVR1B_ACVR2B","Macrophage","Macrophage","0"
"GDF3_ACVR1B_ACVR2B","T Cell","Macrophage","0.01"
"GDF3_ACVR1B_ACVR2B","Macrophage","T Cell","0"
"GDF3_ACVR1C_ACVR2B","Macrophage","B Cell","0.01"
"GDF3_ACVR1C_ACVR2B","Macrophage","Macrophage","0"
"GDF3_ACVR1C_ACVR2B","T Cell","Macrophage","0.01"
"GDF3_ACVR1C_ACVR2B","Macrophage","NK Cell","0.04"
"GDF3_ACVR1C_ACVR2B","Macrophage","T Cell","0"
"INHBA_ACVR1B_ACVR2A","Macrophage","B Cell","0"
"INHBA_ACVR1B_ACVR2A","Macrophage","Macrophage","0"
"INHBA_ACVR1B_ACVR2A","Macrophage","NK Cell","0.01"
"INHBA_ACVR1B_ACVR2A","Macrophage","T Cell","0"
"INHBA_ACVR1B_ACVR2B","Macrophage","Macrophage","0"
"INHBA_ACVR1B_ACVR2B","Macrophage","T Cell","0"
"INHBC_ACVR1B_ACVR2A","B Cell","T Cell","0"
"INHBC_ACVR1B_ACVR2A","Macrophage","T Cell","0"
"INHBC_ACVR1B_ACVR2A","NK Cell","T Cell","0"
"INHBC_ACVR1B_ACVR2A","T Cell","T Cell","0"
"INHBC_ACVR1B_ACVR2B","B Cell","Macrophage","0"
