"","interaction","cell1","cell2","p-value"
"1","TGFB1_ACVR1B_TGFBR2","Eosinophil","ab T Cell","0"
"2","TGFB1_ACVR1B_TGFBR2","Microglia","ab T Cell","0.01"
"3","TGFB1_ACVR1B_TGFBR2","Monocyte","ab T Cell","0"
"4","TGFB1_ACVR1B_TGFBR2","Eosinophil","B Cell","0"
"5","TGFB1_ACVR1B_TGFBR2","Microglia","B Cell","0"
"6","TGFB1_ACVR1B_TGFBR2","Monocyte","B Cell","0"
"7","TGFB1_ACVR1B_TGFBR2","B Cell","Basophils","0.03"
"8","TGFB1_ACVR1B_TGFBR2","Eosinophil","Basophils","0"
"9","TGFB1_ACVR1B_TGFBR2","Granulocytes","Basophils","0.03"
"10","TGFB1_ACVR1B_TGFBR2","Microglia","Basophils","0"
"11","TGFB1_ACVR1B_TGFBR2","Monocyte","Basophils","0"
"12","TGFB1_ACVR1B_TGFBR2","Eosinophil","Dendritic Cell","0"
"13","TGFB1_ACVR1B_TGFBR2","B Cell","Eosinophil","0"
"14","TGFB1_ACVR1B_TGFBR2","Basophils","Eosinophil","0.01"
"15","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Eosinophil","0"
"16","TGFB1_ACVR1B_TGFBR2","Eosinophil","Eosinophil","0"
"17","TGFB1_ACVR1B_TGFBR2","Granulocytes","Eosinophil","0"
"18","TGFB1_ACVR1B_TGFBR2","Macrophage","Eosinophil","0"
"19","TGFB1_ACVR1B_TGFBR2","Microglia","Eosinophil","0"
"20","TGFB1_ACVR1B_TGFBR2","Monocyte","Eosinophil","0"
"21","TGFB1_ACVR1B_TGFBR2","B Cell","gd T cells","0.02"
"22","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","gd T cells","0.01"
"23","TGFB1_ACVR1B_TGFBR2","Eosinophil","gd T cells","0"
"24","TGFB1_ACVR1B_TGFBR2","Granulocytes","gd T cells","0.02"
"25","TGFB1_ACVR1B_TGFBR2","Microglia","gd T cells","0"
"26","TGFB1_ACVR1B_TGFBR2","Monocyte","gd T cells","0"
"27","TGFB1_ACVR1B_TGFBR2","B Cell","Granulocytes","0.01"
"28","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Granulocytes","0"
"29","TGFB1_ACVR1B_TGFBR2","Eosinophil","Granulocytes","0"
"30","TGFB1_ACVR1B_TGFBR2","Granulocytes","Granulocytes","0.03"
"31","TGFB1_ACVR1B_TGFBR2","Microglia","Granulocytes","0"
"32","TGFB1_ACVR1B_TGFBR2","Monocyte","Granulocytes","0"
"33","TGFB1_ACVR1B_TGFBR2","Eosinophil","Innate Lymphocytes","0"
"34","TGFB1_ACVR1B_TGFBR2","B Cell","Macrophage","0"
"35","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Macrophage","0"
"36","TGFB1_ACVR1B_TGFBR2","Eosinophil","Macrophage","0"
"37","TGFB1_ACVR1B_TGFBR2","Microglia","Macrophage","0"
"38","TGFB1_ACVR1B_TGFBR2","Monocyte","Macrophage","0"
"39","TGFB1_ACVR1B_TGFBR2","B Cell","Mast Cells","0"
"40","TGFB1_ACVR1B_TGFBR2","Basophils","Mast Cells","0.03"
"41","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Mast Cells","0"
"42","TGFB1_ACVR1B_TGFBR2","Eosinophil","Mast Cells","0"
"43","TGFB1_ACVR1B_TGFBR2","Granulocytes","Mast Cells","0"
"44","TGFB1_ACVR1B_TGFBR2","Macrophage","Mast Cells","0"
"45","TGFB1_ACVR1B_TGFBR2","Microglia","Mast Cells","0"
"46","TGFB1_ACVR1B_TGFBR2","Monocyte","Mast Cells","0"
"47","TGFB1_ACVR1B_TGFBR2","B Cell","Microglia","0"
"48","TGFB1_ACVR1B_TGFBR2","Basophils","Microglia","0.03"
"49","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Microglia","0"
"50","TGFB1_ACVR1B_TGFBR2","Eosinophil","Microglia","0"
"51","TGFB1_ACVR1B_TGFBR2","Granulocytes","Microglia","0"
"52","TGFB1_ACVR1B_TGFBR2","Macrophage","Microglia","0"
"53","TGFB1_ACVR1B_TGFBR2","Microglia","Microglia","0"
"54","TGFB1_ACVR1B_TGFBR2","Monocyte","Microglia","0"
"55","TGFB1_ACVR1B_TGFBR2","B Cell","Monocyte","0.02"
"56","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Monocyte","0.01"
"57","TGFB1_ACVR1B_TGFBR2","Eosinophil","Monocyte","0"
"58","TGFB1_ACVR1B_TGFBR2","Microglia","Monocyte","0"
"59","TGFB1_ACVR1B_TGFBR2","Monocyte","Monocyte","0"
"60","TGFB1_ACVR1B_TGFBR2","Eosinophil","NK Cell","0.01"
"61","TGFB1_ACVR1B_TGFBR2","Eosinophil","Stem Cells","0"
"62","TGFB1_ACVR1B_TGFBR2","B Cell","Stromal Cells","0"
"63","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Stromal Cells","0.01"
"64","TGFB1_ACVR1B_TGFBR2","Eosinophil","Stromal Cells","0"
"65","TGFB1_ACVR1B_TGFBR2","Granulocytes","Stromal Cells","0.03"
"66","TGFB1_ACVR1B_TGFBR2","Microglia","Stromal Cells","0"
"67","TGFB1_ACVR1B_TGFBR2","Monocyte","Stromal Cells","0"
"68","TGFB1_ACVR1B_TGFBR2","B Cell","T Cell","0.03"
"69","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","T Cell","0.02"
"70","TGFB1_ACVR1B_TGFBR2","Eosinophil","T Cell","0"
"71","TGFB1_ACVR1B_TGFBR2","Granulocytes","T Cell","0.04"
"72","TGFB1_ACVR1B_TGFBR2","Microglia","T Cell","0"
"73","TGFB1_ACVR1B_TGFBR2","Monocyte","T Cell","0"
"74","TGFB1_ACVR1C_TGFBR2","Eosinophil","ab T Cell","0"
"75","TGFB1_ACVR1C_TGFBR2","Microglia","ab T Cell","0.01"
"76","TGFB1_ACVR1C_TGFBR2","Monocyte","ab T Cell","0"
"77","TGFB1_ACVR1C_TGFBR2","Eosinophil","B Cell","0"
"78","TGFB1_ACVR1C_TGFBR2","Monocyte","B Cell","0"
"79","TGFB1_ACVR1C_TGFBR2","ab T Cell","Basophils","0.03"
"80","TGFB1_ACVR1C_TGFBR2","B Cell","Basophils","0"
"81","TGFB1_ACVR1C_TGFBR2","Basophils","Basophils","0.01"
"82","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","Basophils","0"
"83","TGFB1_ACVR1C_TGFBR2","Eosinophil","Basophils","0"
"84","TGFB1_ACVR1C_TGFBR2","Granulocytes","Basophils","0"
"85","TGFB1_ACVR1C_TGFBR2","Innate Lymphocytes","Basophils","0.02"
"86","TGFB1_ACVR1C_TGFBR2","Macrophage","Basophils","0"
"87","TGFB1_ACVR1C_TGFBR2","Mast Cells","Basophils","0.02"
"88","TGFB1_ACVR1C_TGFBR2","Microglia","Basophils","0"
"89","TGFB1_ACVR1C_TGFBR2","Monocyte","Basophils","0"
"90","TGFB1_ACVR1C_TGFBR2","T Cell","Basophils","0.01"
"91","TGFB1_ACVR1C_TGFBR2","Eosinophil","Dendritic Cell","0"
"92","TGFB1_ACVR1C_TGFBR2","Microglia","Dendritic Cell","0.03"
"93","TGFB1_ACVR1C_TGFBR2","Monocyte","Dendritic Cell","0"
"94","TGFB1_ACVR1C_TGFBR2","Eosinophil","Eosinophil","0"
"95","TGFB1_ACVR1C_TGFBR2","B Cell","gd T cells","0.01"
"96","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","gd T cells","0.04"
"97","TGFB1_ACVR1C_TGFBR2","Eosinophil","gd T cells","0"
"98","TGFB1_ACVR1C_TGFBR2","Granulocytes","gd T cells","0.03"
"99","TGFB1_ACVR1C_TGFBR2","Microglia","gd T cells","0"
"100","TGFB1_ACVR1C_TGFBR2","Monocyte","gd T cells","0"
"101","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","Granulocytes","0.04"
"102","TGFB1_ACVR1C_TGFBR2","Eosinophil","Granulocytes","0"
"103","TGFB1_ACVR1C_TGFBR2","Granulocytes","Granulocytes","0.04"
"104","TGFB1_ACVR1C_TGFBR2","Microglia","Granulocytes","0.01"
"105","TGFB1_ACVR1C_TGFBR2","Monocyte","Granulocytes","0.01"
"106","TGFB1_ACVR1C_TGFBR2","B Cell","Innate Lymphocytes","0.03"
"107","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","Innate Lymphocytes","0.01"
"108","TGFB1_ACVR1C_TGFBR2","Eosinophil","Innate Lymphocytes","0"
"109","TGFB1_ACVR1C_TGFBR2","Granulocytes","Innate Lymphocytes","0"
"110","TGFB1_ACVR1C_TGFBR2","Microglia","Innate Lymphocytes","0"
"111","TGFB1_ACVR1C_TGFBR2","Monocyte","Innate Lymphocytes","0"
"112","TGFB1_ACVR1C_TGFBR2","B Cell","Macrophage","0"
"113","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","Macrophage","0"
"114","TGFB1_ACVR1C_TGFBR2","Eosinophil","Macrophage","0"
"115","TGFB1_ACVR1C_TGFBR2","Granulocytes","Macrophage","0.04"
"116","TGFB1_ACVR1C_TGFBR2","Microglia","Macrophage","0"
"117","TGFB1_ACVR1C_TGFBR2","Monocyte","Macrophage","0"
"118","TGFB1_ACVR1C_TGFBR2","Eosinophil","Mast Cells","0"
"119","TGFB1_ACVR1C_TGFBR2","Monocyte","Mast Cells","0.02"
"120","TGFB1_ACVR1C_TGFBR2","B Cell","Microglia","0"
"121","TGFB1_ACVR1C_TGFBR2","Basophils","Microglia","0.03"
"122","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","Microglia","0"
"123","TGFB1_ACVR1C_TGFBR2","Eosinophil","Microglia","0"
"124","TGFB1_ACVR1C_TGFBR2","Granulocytes","Microglia","0"
"125","TGFB1_ACVR1C_TGFBR2","Macrophage","Microglia","0"
"126","TGFB1_ACVR1C_TGFBR2","Mast Cells","Microglia","0.03"
"127","TGFB1_ACVR1C_TGFBR2","Microglia","Microglia","0"
"128","TGFB1_ACVR1C_TGFBR2","Monocyte","Microglia","0"
"129","TGFB1_ACVR1C_TGFBR2","Eosinophil","Monocyte","0"
"130","TGFB1_ACVR1C_TGFBR2","Microglia","Monocyte","0"
"131","TGFB1_ACVR1C_TGFBR2","Monocyte","Monocyte","0"
"132","TGFB1_ACVR1C_TGFBR2","Eosinophil","NK Cell","0"
"133","TGFB1_ACVR1C_TGFBR2","Eosinophil","Stem Cells","0"
"134","TGFB1_ACVR1C_TGFBR2","B Cell","Stromal Cells","0"
"135","TGFB1_ACVR1C_TGFBR2","Basophils","Stromal Cells","0.02"
"136","TGFB1_ACVR1C_TGFBR2","Dendritic Cell","Stromal Cells","0"
"137","TGFB1_ACVR1C_TGFBR2","Eosinophil","Stromal Cells","0"
"138","TGFB1_ACVR1C_TGFBR2","Granulocytes","Stromal Cells","0"
"139","TGFB1_ACVR1C_TGFBR2","Macrophage","Stromal Cells","0"
"140","TGFB1_ACVR1C_TGFBR2","Mast Cells","Stromal Cells","0.03"
"141","TGFB1_ACVR1C_TGFBR2","Microglia","Stromal Cells","0"
"142","TGFB1_ACVR1C_TGFBR2","Monocyte","Stromal Cells","0"
"143","TGFB1_ACVR1C_TGFBR2","Eosinophil","T Cell","0"
"144","TGFB1_ACVR1C_TGFBR2","Microglia","T Cell","0.01"
"145","TGFB1_ACVR1C_TGFBR2","Monocyte","T Cell","0"
"146","TGFB3_ACVR1B_TGFBR2","gd T cells","ab T Cell","0"
"147","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","ab T Cell","0"
"148","TGFB3_ACVR1B_TGFBR2","NK Cell","ab T Cell","0"
"149","TGFB3_ACVR1B_TGFBR2","Stromal Cells","ab T Cell","0"
"150","TGFB3_ACVR1B_TGFBR2","gd T cells","B Cell","0"
"151","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","B Cell","0"
"152","TGFB3_ACVR1B_TGFBR2","NK Cell","B Cell","0"
"153","TGFB3_ACVR1B_TGFBR2","Stromal Cells","B Cell","0"
"154","TGFB3_ACVR1B_TGFBR2","ab T Cell","Basophils","0.04"
"155","TGFB3_ACVR1B_TGFBR2","B Cell","Basophils","0.01"
"156","TGFB3_ACVR1B_TGFBR2","gd T cells","Basophils","0"
"157","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Basophils","0"
"158","TGFB3_ACVR1B_TGFBR2","Macrophage","Basophils","0.02"
"159","TGFB3_ACVR1B_TGFBR2","NK Cell","Basophils","0"
"160","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Basophils","0"
"161","TGFB3_ACVR1B_TGFBR2","gd T cells","Dendritic Cell","0.01"
"162","TGFB3_ACVR1B_TGFBR2","NK Cell","Dendritic Cell","0.02"
"163","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Dendritic Cell","0"
"164","TGFB3_ACVR1B_TGFBR2","ab T Cell","Eosinophil","0"
"165","TGFB3_ACVR1B_TGFBR2","B Cell","Eosinophil","0"
"166","TGFB3_ACVR1B_TGFBR2","gd T cells","Eosinophil","0"
"167","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Eosinophil","0"
"168","TGFB3_ACVR1B_TGFBR2","Macrophage","Eosinophil","0"
"169","TGFB3_ACVR1B_TGFBR2","NK Cell","Eosinophil","0"
"170","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Eosinophil","0"
"171","TGFB3_ACVR1B_TGFBR2","B Cell","gd T cells","0.02"
"172","TGFB3_ACVR1B_TGFBR2","gd T cells","gd T cells","0"
"173","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","gd T cells","0"
"174","TGFB3_ACVR1B_TGFBR2","Macrophage","gd T cells","0.03"
"175","TGFB3_ACVR1B_TGFBR2","NK Cell","gd T cells","0"
"176","TGFB3_ACVR1B_TGFBR2","Stromal Cells","gd T cells","0"
"177","TGFB3_ACVR1B_TGFBR2","ab T Cell","Granulocytes","0.02"
"178","TGFB3_ACVR1B_TGFBR2","B Cell","Granulocytes","0"
"179","TGFB3_ACVR1B_TGFBR2","gd T cells","Granulocytes","0"
"180","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Granulocytes","0.01"
"181","TGFB3_ACVR1B_TGFBR2","Macrophage","Granulocytes","0.01"
"182","TGFB3_ACVR1B_TGFBR2","NK Cell","Granulocytes","0"
"183","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Granulocytes","0"
"184","TGFB3_ACVR1B_TGFBR2","gd T cells","Innate Lymphocytes","0"
"185","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Innate Lymphocytes","0.01"
"186","TGFB3_ACVR1B_TGFBR2","NK Cell","Innate Lymphocytes","0"
"187","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Innate Lymphocytes","0"
"188","TGFB3_ACVR1B_TGFBR2","gd T cells","Macrophage","0"
"189","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Macrophage","0"
"190","TGFB3_ACVR1B_TGFBR2","Macrophage","Macrophage","0.01"
"191","TGFB3_ACVR1B_TGFBR2","NK Cell","Macrophage","0"
"192","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Macrophage","0"
"193","TGFB3_ACVR1B_TGFBR2","ab T Cell","Mast Cells","0"
"194","TGFB3_ACVR1B_TGFBR2","B Cell","Mast Cells","0"
"195","TGFB3_ACVR1B_TGFBR2","gd T cells","Mast Cells","0"
"196","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Mast Cells","0"
"197","TGFB3_ACVR1B_TGFBR2","Macrophage","Mast Cells","0"
"198","TGFB3_ACVR1B_TGFBR2","NK Cell","Mast Cells","0"
"199","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Mast Cells","0"
"200","TGFB3_ACVR1B_TGFBR2","ab T Cell","Microglia","0"
"201","TGFB3_ACVR1B_TGFBR2","B Cell","Microglia","0"
"202","TGFB3_ACVR1B_TGFBR2","gd T cells","Microglia","0"
"203","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Microglia","0"
"204","TGFB3_ACVR1B_TGFBR2","Macrophage","Microglia","0"
"205","TGFB3_ACVR1B_TGFBR2","NK Cell","Microglia","0"
"206","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Microglia","0"
"207","TGFB3_ACVR1B_TGFBR2","B Cell","Monocyte","0.04"
"208","TGFB3_ACVR1B_TGFBR2","gd T cells","Monocyte","0"
"209","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Monocyte","0"
"210","TGFB3_ACVR1B_TGFBR2","Macrophage","Monocyte","0.02"
"211","TGFB3_ACVR1B_TGFBR2","NK Cell","Monocyte","0"
"212","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Monocyte","0"
"213","TGFB3_ACVR1B_TGFBR2","gd T cells","NK Cell","0.03"
"214","TGFB3_ACVR1B_TGFBR2","Stromal Cells","NK Cell","0"
"215","TGFB3_ACVR1B_TGFBR2","gd T cells","Stem Cells","0.01"
"216","TGFB3_ACVR1B_TGFBR2","NK Cell","Stem Cells","0.03"
"217","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Stem Cells","0"
"218","TGFB3_ACVR1B_TGFBR2","ab T Cell","Stromal Cells","0.03"
"219","TGFB3_ACVR1B_TGFBR2","B Cell","Stromal Cells","0.02"
"220","TGFB3_ACVR1B_TGFBR2","gd T cells","Stromal Cells","0"
"221","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Stromal Cells","0"
"222","TGFB3_ACVR1B_TGFBR2","Macrophage","Stromal Cells","0"
"223","TGFB3_ACVR1B_TGFBR2","NK Cell","Stromal Cells","0"
"224","TGFB3_ACVR1B_TGFBR2","Stromal Cells","Stromal Cells","0"
"225","TGFB3_ACVR1B_TGFBR2","B Cell","T Cell","0.03"
"226","TGFB3_ACVR1B_TGFBR2","gd T cells","T Cell","0"
"227","TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","T Cell","0"
"228","TGFB3_ACVR1B_TGFBR2","Macrophage","T Cell","0.02"
"229","TGFB3_ACVR1B_TGFBR2","NK Cell","T Cell","0"
"230","TGFB3_ACVR1B_TGFBR2","Stromal Cells","T Cell","0"
"231","TGFB3_ACVR1C_TGFBR2","gd T cells","ab T Cell","0"
"232","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","ab T Cell","0.01"
"233","TGFB3_ACVR1C_TGFBR2","NK Cell","ab T Cell","0"
"234","TGFB3_ACVR1C_TGFBR2","Stromal Cells","ab T Cell","0"
"235","TGFB3_ACVR1C_TGFBR2","gd T cells","B Cell","0"
"236","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","B Cell","0"
"237","TGFB3_ACVR1C_TGFBR2","NK Cell","B Cell","0"
"238","TGFB3_ACVR1C_TGFBR2","Stromal Cells","B Cell","0"
"239","TGFB3_ACVR1C_TGFBR2","ab T Cell","Basophils","0"
"240","TGFB3_ACVR1C_TGFBR2","B Cell","Basophils","0"
"241","TGFB3_ACVR1C_TGFBR2","Eosinophil","Basophils","0.03"
"242","TGFB3_ACVR1C_TGFBR2","gd T cells","Basophils","0"
"243","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Basophils","0"
"244","TGFB3_ACVR1C_TGFBR2","Macrophage","Basophils","0"
"245","TGFB3_ACVR1C_TGFBR2","NK Cell","Basophils","0"
"246","TGFB3_ACVR1C_TGFBR2","Stem Cells","Basophils","0.03"
"247","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Basophils","0"
"248","TGFB3_ACVR1C_TGFBR2","gd T cells","Dendritic Cell","0"
"249","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Dendritic Cell","0.01"
"250","TGFB3_ACVR1C_TGFBR2","NK Cell","Dendritic Cell","0"
"251","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Dendritic Cell","0"
"252","TGFB3_ACVR1C_TGFBR2","gd T cells","Eosinophil","0"
"253","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Eosinophil","0.03"
"254","TGFB3_ACVR1C_TGFBR2","NK Cell","Eosinophil","0.01"
"255","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Eosinophil","0"
"256","TGFB3_ACVR1C_TGFBR2","ab T Cell","gd T cells","0.01"
"257","TGFB3_ACVR1C_TGFBR2","B Cell","gd T cells","0.02"
"258","TGFB3_ACVR1C_TGFBR2","gd T cells","gd T cells","0"
"259","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","gd T cells","0"
"260","TGFB3_ACVR1C_TGFBR2","Macrophage","gd T cells","0.03"
"261","TGFB3_ACVR1C_TGFBR2","NK Cell","gd T cells","0"
"262","TGFB3_ACVR1C_TGFBR2","Stromal Cells","gd T cells","0"
"263","TGFB3_ACVR1C_TGFBR2","ab T Cell","Granulocytes","0.04"
"264","TGFB3_ACVR1C_TGFBR2","B Cell","Granulocytes","0.02"
"265","TGFB3_ACVR1C_TGFBR2","gd T cells","Granulocytes","0"
"266","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Granulocytes","0"
"267","TGFB3_ACVR1C_TGFBR2","NK Cell","Granulocytes","0"
"268","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Granulocytes","0"
"269","TGFB3_ACVR1C_TGFBR2","B Cell","Innate Lymphocytes","0.03"
"270","TGFB3_ACVR1C_TGFBR2","gd T cells","Innate Lymphocytes","0"
"271","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Innate Lymphocytes","0"
"272","TGFB3_ACVR1C_TGFBR2","Macrophage","Innate Lymphocytes","0.01"
"273","TGFB3_ACVR1C_TGFBR2","NK Cell","Innate Lymphocytes","0"
"274","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Innate Lymphocytes","0"
"275","TGFB3_ACVR1C_TGFBR2","gd T cells","Macrophage","0"
"276","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Macrophage","0"
"277","TGFB3_ACVR1C_TGFBR2","Macrophage","Macrophage","0.01"
"278","TGFB3_ACVR1C_TGFBR2","NK Cell","Macrophage","0"
"279","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Macrophage","0"
"280","TGFB3_ACVR1C_TGFBR2","gd T cells","Mast Cells","0"
"281","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Mast Cells","0.01"
"282","TGFB3_ACVR1C_TGFBR2","NK Cell","Mast Cells","0"
"283","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Mast Cells","0"
"284","TGFB3_ACVR1C_TGFBR2","ab T Cell","Microglia","0"
"285","TGFB3_ACVR1C_TGFBR2","B Cell","Microglia","0"
"286","TGFB3_ACVR1C_TGFBR2","gd T cells","Microglia","0"
"287","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Microglia","0"
"288","TGFB3_ACVR1C_TGFBR2","Macrophage","Microglia","0"
"289","TGFB3_ACVR1C_TGFBR2","NK Cell","Microglia","0"
"290","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Microglia","0"
"291","TGFB3_ACVR1C_TGFBR2","gd T cells","Monocyte","0"
"292","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Monocyte","0"
"293","TGFB3_ACVR1C_TGFBR2","NK Cell","Monocyte","0"
"294","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Monocyte","0"
"295","TGFB3_ACVR1C_TGFBR2","gd T cells","NK Cell","0"
"296","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","NK Cell","0.03"
"297","TGFB3_ACVR1C_TGFBR2","NK Cell","NK Cell","0.01"
"298","TGFB3_ACVR1C_TGFBR2","Stromal Cells","NK Cell","0"
"299","TGFB3_ACVR1C_TGFBR2","gd T cells","Stem Cells","0.01"
"300","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Stem Cells","0"
"301","TGFB3_ACVR1C_TGFBR2","ab T Cell","Stromal Cells","0"
"302","TGFB3_ACVR1C_TGFBR2","B Cell","Stromal Cells","0"
"303","TGFB3_ACVR1C_TGFBR2","Eosinophil","Stromal Cells","0.04"
"304","TGFB3_ACVR1C_TGFBR2","gd T cells","Stromal Cells","0"
"305","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Stromal Cells","0"
"306","TGFB3_ACVR1C_TGFBR2","Macrophage","Stromal Cells","0"
"307","TGFB3_ACVR1C_TGFBR2","NK Cell","Stromal Cells","0"
"308","TGFB3_ACVR1C_TGFBR2","Stromal Cells","Stromal Cells","0"
"309","TGFB3_ACVR1C_TGFBR2","gd T cells","T Cell","0"
"310","TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","T Cell","0"
"311","TGFB3_ACVR1C_TGFBR2","NK Cell","T Cell","0"
"312","TGFB3_ACVR1C_TGFBR2","Stromal Cells","T Cell","0"
"313","TGFB1_ACVR1_TGFBR1","Eosinophil","ab T Cell","0"
"314","TGFB1_ACVR1_TGFBR1","Eosinophil","B Cell","0.02"
"315","TGFB1_ACVR1_TGFBR1","Eosinophil","Basophils","0.01"
"316","TGFB1_ACVR1_TGFBR1","Eosinophil","Dendritic Cell","0"
"317","TGFB1_ACVR1_TGFBR1","Monocyte","Dendritic Cell","0.02"
"318","TGFB1_ACVR1_TGFBR1","Eosinophil","gd T cells","0"
"319","TGFB1_ACVR1_TGFBR1","Eosinophil","Granulocytes","0"
"320","TGFB1_ACVR1_TGFBR1","Eosinophil","Innate Lymphocytes","0.02"
"321","TGFB1_ACVR1_TGFBR1","B Cell","Macrophage","0"
"322","TGFB1_ACVR1_TGFBR1","Dendritic Cell","Macrophage","0"
"323","TGFB1_ACVR1_TGFBR1","Eosinophil","Macrophage","0"
"324","TGFB1_ACVR1_TGFBR1","Granulocytes","Macrophage","0"
"325","TGFB1_ACVR1_TGFBR1","Macrophage","Macrophage","0"
"326","TGFB1_ACVR1_TGFBR1","Microglia","Macrophage","0"
"327","TGFB1_ACVR1_TGFBR1","Monocyte","Macrophage","0"
"328","TGFB1_ACVR1_TGFBR1","B Cell","Mast Cells","0"
"329","TGFB1_ACVR1_TGFBR1","Dendritic Cell","Mast Cells","0.02"
"330","TGFB1_ACVR1_TGFBR1","Eosinophil","Mast Cells","0"
"331","TGFB1_ACVR1_TGFBR1","Granulocytes","Mast Cells","0.02"
"332","TGFB1_ACVR1_TGFBR1","Microglia","Mast Cells","0"
"333","TGFB1_ACVR1_TGFBR1","Monocyte","Mast Cells","0"
"334","TGFB1_ACVR1_TGFBR1","ab T Cell","Microglia","0"
"335","TGFB1_ACVR1_TGFBR1","B Cell","Microglia","0"
"336","TGFB1_ACVR1_TGFBR1","Basophils","Microglia","0"
"337","TGFB1_ACVR1_TGFBR1","Dendritic Cell","Microglia","0"
"338","TGFB1_ACVR1_TGFBR1","Eosinophil","Microglia","0"
"339","TGFB1_ACVR1_TGFBR1","gd T cells","Microglia","0"
"340","TGFB1_ACVR1_TGFBR1","Granulocytes","Microglia","0"
"341","TGFB1_ACVR1_TGFBR1","Innate Lymphocytes","Microglia","0"
"342","TGFB1_ACVR1_TGFBR1","Macrophage","Microglia","0"
"343","TGFB1_ACVR1_TGFBR1","Mast Cells","Microglia","0"
"344","TGFB1_ACVR1_TGFBR1","Microglia","Microglia","0"
"345","TGFB1_ACVR1_TGFBR1","Monocyte","Microglia","0"
"346","TGFB1_ACVR1_TGFBR1","NK Cell","Microglia","0"
"347","TGFB1_ACVR1_TGFBR1","Stem Cells","Microglia","0"
"348","TGFB1_ACVR1_TGFBR1","Stromal Cells","Microglia","0"
"349","TGFB1_ACVR1_TGFBR1","T Cell","Microglia","0"
"350","TGFB1_ACVR1_TGFBR1","B Cell","Monocyte","0.01"
"351","TGFB1_ACVR1_TGFBR1","Dendritic Cell","Monocyte","0"
"352","TGFB1_ACVR1_TGFBR1","Eosinophil","Monocyte","0"
