"interaction","cell1","cell2","p-value"
"INHBA_ACVR1B_ACVR2A","Peritoneal Cavity","Spleen","0"
"INHBA_ACVR1B_ACVR2B","Peritoneal Cavity","Peritoneal Cavity","0"
"INHBA_ACVR1B_ACVR2B","Peritoneal Cavity","Spleen","0"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Peritoneal Cavity","0.02"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Spleen","0"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Peritoneal Cavity","0"
"INHBABB_ACVR1B_ACVR2B","Spleen","Peritoneal Cavity","0"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Spleen","0"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Peritoneal Cavity","0"
"INHB_ACVR1C_ACVR2B","Spleen","Peritoneal Cavity","0.02"
"WNT10A_FZD1_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT10A_FZD1_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD10_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.03"
"WNT10A_FZD10_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD2_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.03"
"WNT10A_FZD2_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD3_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD4_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT10A_FZD4_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD5_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD6_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD7_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT10A_FZD7_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD8_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.03"
"WNT10A_FZD8_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD9_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.03"
"WNT10A_FZD9_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD1_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT3_FZD1_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD10_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.04"
"WNT3_FZD10_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD2_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD3_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD4_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT3_FZD4_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD5_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD6_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD7_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT3_FZD7_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD8_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.02"
"WNT3_FZD8_LRP5","Spleen","Peritoneal Cavity","0"
"WNT3_FZD9_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.04"
"WNT3_FZD9_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD1_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD1_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD10_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD10_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD10_LRP5","Peritoneal Cavity","Spleen","0"
"WNT6_FZD2_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD2_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD2_LRP5","Peritoneal Cavity","Spleen","0"
"WNT6_FZD3_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD3_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD3_LRP5","Peritoneal Cavity","Spleen","0"
"WNT6_FZD4_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD4_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD5_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD5_LRP5","Peritoneal Cavity","Spleen","0"
"WNT6_FZD6_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD6_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD6_LRP5","Peritoneal Cavity","Spleen","0"
"WNT6_FZD7_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD7_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD8_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD8_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD8_LRP5","Peritoneal Cavity","Spleen","0"
"WNT6_FZD9_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD9_LRP5","Spleen","Peritoneal Cavity","0"
"WNT6_FZD9_LRP5","Peritoneal Cavity","Spleen","0"
"WNT7B_FZD1_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD1_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD10_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD10_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD2_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD2_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD3_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD3_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD4_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD4_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD5_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.04"
"WNT7B_FZD5_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD6_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD6_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD7_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD7_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD8_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD8_LRP5","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD9_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD9_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD1_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD1_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD10_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD10_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD2_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD2_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD3_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD3_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD4_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD4_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD5_LRP5","Peritoneal Cavity","Peritoneal Cavity","0.02"
"WNT8B_FZD5_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD6_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD6_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD7_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD7_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD8_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD8_LRP5","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD9_LRP5","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD9_LRP5","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD1_LRP6","Peritoneal Cavity","Peritoneal Cavity","0.01"
"WNT10A_FZD1_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD10_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD10_LRP6","Spleen","Spleen","0.03"
"WNT10A_FZD2_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD2_LRP6","Spleen","Spleen","0.03"
"WNT10A_FZD3_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD3_LRP6","Spleen","Spleen","0.02"
"WNT10A_FZD4_LRP6","Peritoneal Cavity","Peritoneal Cavity","0.01"
"WNT10A_FZD4_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD5_LRP6","Spleen","Spleen","0"
"WNT10A_FZD6_LRP6","Spleen","Peritoneal Cavity","0.03"
"WNT10A_FZD6_LRP6","Spleen","Spleen","0.01"
"WNT10A_FZD7_LRP6","Peritoneal Cavity","Peritoneal Cavity","0.01"
"WNT10A_FZD7_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD8_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD9_LRP6","Spleen","Peritoneal Cavity","0"
"WNT10A_FZD9_LRP6","Spleen","Spleen","0.03"
"WNT3_FZD1_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT3_FZD1_LRP6","Spleen","Peritoneal Cavity","0"
"WNT3_FZD10_LRP6","Spleen","Peritoneal Cavity","0"
"WNT3_FZD2_LRP6","Spleen","Peritoneal Cavity","0"
"WNT3_FZD3_LRP6","Spleen","Peritoneal Cavity","0.01"
"WNT3_FZD4_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT3_FZD4_LRP6","Spleen","Peritoneal Cavity","0"
"WNT3_FZD5_LRP6","Spleen","Spleen","0"
"WNT3_FZD6_LRP6","Spleen","Spleen","0.04"
"WNT3_FZD7_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT3_FZD7_LRP6","Spleen","Peritoneal Cavity","0"
"WNT3_FZD8_LRP6","Spleen","Peritoneal Cavity","0"
"WNT3_FZD9_LRP6","Spleen","Peritoneal Cavity","0"
"WNT6_FZD1_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD1_LRP6","Spleen","Peritoneal Cavity","0"
"WNT6_FZD10_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD10_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD2_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD2_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD3_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD3_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD4_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD4_LRP6","Spleen","Peritoneal Cavity","0"
"WNT6_FZD5_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD5_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD6_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD6_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD7_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD7_LRP6","Spleen","Peritoneal Cavity","0"
"WNT6_FZD7_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD8_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD8_LRP6","Peritoneal Cavity","Spleen","0"
"WNT6_FZD9_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT6_FZD9_LRP6","Peritoneal Cavity","Spleen","0"
"WNT7B_FZD1_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD1_LRP6","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD10_LRP6","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD2_LRP6","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD3_LRP6","Spleen","Peritoneal Cavity","0.01"
"WNT7B_FZD4_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD4_LRP6","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD5_LRP6","Peritoneal Cavity","Spleen","0.02"
"WNT7B_FZD5_LRP6","Spleen","Spleen","0.01"
"WNT7B_FZD6_LRP6","Spleen","Peritoneal Cavity","0.03"
"WNT7B_FZD7_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT7B_FZD7_LRP6","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD8_LRP6","Peritoneal Cavity","Peritoneal Cavity","0.04"
"WNT7B_FZD8_LRP6","Spleen","Peritoneal Cavity","0"
"WNT7B_FZD9_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD1_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD1_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD10_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD10_LRP6","Spleen","Spleen","0.03"
"WNT8B_FZD2_LRP6","Spleen","Peritoneal Cavity","0"
